"","Date","Contributor","Contributor ISO-3","Mission","Individual Police Male","Individual Police Female","Individual Police Total","Formed Police Units Male","Formed Police Units Female","Formed Police Units Total","Experts on Mission Male","Experts on Mission Female","Experts on Mission Total","Troops Male","Troops Female","Troops Total","Total Male","Total Female","Total Total"
"27",2011-09-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"28",2011-10-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"29",2011-11-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"30",2012-02-28,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"31",2012-03-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"32",2012-04-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"33",2012-05-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"34",2012-06-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"35",2012-07-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"36",2012-08-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"37",2012-09-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"38",2012-10-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"39",2012-11-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"40",2012-12-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"41",2013-04-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"42",2013-03-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"43",2013-01-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"44",2013-11-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"45",2013-08-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"46",2013-09-30,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"47",2013-10-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"48",2013-12-31,"Algeria","DZA","MONUSCO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"49",2010-07-31,"Argentina","ARG","UNMIS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"50",2010-08-31,"Argentina","ARG","UNMIS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"51",2010-09-30,"Argentina","ARG","UNMIS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"52",2010-10-31,"Argentina","ARG","UNMIS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"53",2011-10-31,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"54",2011-11-30,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"55",2011-12-31,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"56",2012-01-31,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"57",2012-02-28,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"58",2012-03-31,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"59",2012-04-30,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"60",2012-05-31,"Argentina","ARG","UNMISS",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"61",2013-03-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"62",2013-05-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"63",2013-06-30,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"64",2013-07-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"65",2013-02-28,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"66",2013-03-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"67",2013-04-30,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"68",2013-11-30,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"69",2013-08-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"70",2013-09-30,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"71",2013-10-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"72",2013-12-31,"Argentina","ARG","UNOCI",2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
"73",2013-05-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"74",2013-06-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"75",2013-07-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"76",2011-12-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"77",2012-01-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"78",2012-02-28,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"79",2012-03-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"80",2012-04-30,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"81",2012-05-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"82",2012-06-30,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"83",2012-07-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"84",2012-08-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"85",2012-09-30,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"86",2012-10-31,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"87",2012-11-30,"Argentina","ARG","UNOCI",2,1,3,0,0,0,0,0,0,0,0,0,2,1,3
"88",2009-11-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"89",2010-01-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"90",2010-02-28,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"91",2010-03-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"92",2010-04-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"93",2010-05-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"94",2010-06-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"95",2010-07-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"96",2010-08-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"97",2010-09-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"98",2010-10-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"99",2010-11-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"100",2010-12-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"101",2011-01-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"102",2011-02-28,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"103",2011-03-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"104",2011-04-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"105",2011-05-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"106",2011-06-30,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"107",2011-07-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"108",2011-08-31,"Argentina","ARG","UNOCI",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
"109",2009-11-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"110",2009-12-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"111",2010-01-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"112",2010-02-28,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"113",2010-04-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"114",2010-05-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"115",2010-06-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"116",2010-07-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"117",2010-08-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"118",2010-09-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"119",2010-10-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"120",2010-11-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"121",2010-11-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"122",2010-12-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"123",2010-12-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"124",2011-01-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"125",2011-01-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"126",2011-02-28,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"127",2011-02-28,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"128",2011-03-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"129",2011-03-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"130",2011-04-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"131",2011-04-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"132",2011-05-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"133",2011-05-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"134",2011-06-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"135",2011-06-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"136",2011-07-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"137",2011-07-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"138",2011-08-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"139",2011-09-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"140",2011-09-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"141",2011-10-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"142",2011-10-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"143",2011-11-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"144",2011-11-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"145",2011-12-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"146",2011-12-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"147",2012-01-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"148",2012-01-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"149",2012-02-28,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"150",2012-02-28,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"151",2012-03-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"152",2012-03-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"153",2012-04-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"154",2012-04-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"155",2012-05-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"156",2012-05-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"157",2012-06-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"158",2012-06-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"159",2012-07-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"160",2012-07-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"161",2012-08-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"162",2012-08-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"163",2012-09-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"164",2012-09-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"165",2012-10-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"166",2012-10-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"167",2012-11-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"168",2012-11-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"169",2012-12-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"170",2012-12-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"171",2013-02-28,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"172",2013-02-28,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"173",2013-01-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"174",2013-01-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"175",2013-04-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"176",2013-11-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"177",2013-08-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"178",2013-09-30,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"179",2013-10-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"180",2013-12-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
"181",2013-05-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"182",2013-07-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"183",2013-05-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"184",2013-06-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"185",2013-07-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"186",2010-11-30,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"187",2010-12-31,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"188",2011-01-31,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"189",2011-02-28,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"190",2011-03-31,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"191",2011-04-30,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"192",2011-05-31,"Argentina","ARG","UNMIS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"193",2011-08-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"194",2011-09-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"195",2012-06-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"196",2012-07-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"197",2012-08-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"198",2012-09-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"199",2012-10-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"200",2012-11-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"201",2012-12-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"202",2013-02-28,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"203",2013-01-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"204",2013-03-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"205",2013-04-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"206",2013-03-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"207",2013-04-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"208",2013-11-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"209",2013-08-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"210",2013-09-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"211",2013-10-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"212",2013-12-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
"213",2013-11-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"214",2013-08-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"215",2013-09-30,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"216",2013-10-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"217",2013-12-31,"Argentina","ARG","UNMISS",4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
"218",2011-06-30,"Argentina","ARG","UNMIS",5,0,5,0,0,0,0,0,0,0,0,0,5,0,5
"219",2009-11-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"220",2009-12-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"221",2010-01-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"222",2010-03-31,"Argentina","ARG","MINURSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"223",2010-03-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"224",2010-04-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"225",2010-05-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"226",2010-06-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"227",2010-07-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"228",2010-08-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"229",2010-09-30,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"230",2010-10-31,"Argentina","ARG","UNTSO",0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
"231",2009-12-31,"Argentina","ARG","UNOCI",6,0,6,0,0,0,0,0,0,0,0,0,6,0,6
"232",2011-08-31,"Argentina","ARG","UNMIL",6,1,7,0,0,0,0,0,0,0,0,0,6,1,7
"233",2011-09-30,"Argentina","ARG","UNMIL",6,1,7,0,0,0,0,0,0,0,0,0,6,1,7
"234",2011-11-30,"Argentina","ARG","UNMIL",7,0,7,0,0,0,0,0,0,0,0,0,7,0,7
"235",2011-12-31,"Argentina","ARG","UNMIL",7,0,7,0,0,0,0,0,0,0,0,0,7,0,7
"236",2012-10-31,"Argentina","ARG","UNMIL",7,0,7,0,0,0,0,0,0,0,0,0,7,0,7
"237",2010-02-28,"Argentina","ARG","UNTSO",0,0,0,0,0,0,7,0,7,0,0,0,7,0,7
"238",2009-11-30,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"239",2009-12-31,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"240",2010-01-31,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"241",2010-02-28,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"242",2010-03-31,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"243",2010-04-30,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
"244",2010-05-31,"Argentina","ARG","UNMIL",7,2,9,0,0,0,0,0,0,0,0,0,7,2,9
